17_WarningText = Преследуя трёххвоста, не отвлекайся
18_WarningText = Преследуя трёххвоста, не отвлекайся
19_WarningText = Преследуя трёххвоста, не отвлекайся
20_WarningText = Преследуя трёххвоста, не отвлекайся
22_WarningText = Преследуя трёххвоста, не отвлекайся
24_WarningText = Преследуя трёххвоста, не отвлекайся
25_WarningText = Преследуя трёххвоста, не отвлекайся
32_WarningText = Преследуя трёххвоста, не отвлекайся
26_WarningText = Преследуя трёххвоста, не отвлекайся
27_WarningText = Преследуя трёххвоста, не отвлекайся
31_WarningText = Преследуя трёххвоста, не отвлекайся
28_WarningText = Преследуя трёххвоста, не отвлекайся
23_WarningText = Решающая битва, будь осторожен
